256,813941400,600955000,586250300,634509400,697255600,616632500,573914100,618989300,649976600,547624800,596228200,658867900,582728000,631020800,819749200,649140200,648877600,933550400,631584200,715260000,643248500,744855200,633950000,651188700,676767200,657962000,605911600,789941700,1351127000,1229136000,701889100,661298800,606200000,710962800,677349800,655472500,832787500,885560900,1026964600,1020194700,923771900,966859400,1065913400,875729600,704112800,600969600,532443300,976131700,633889500,795236000,965562400,750536000,689264500,743475500,680877100,693387800,787017900,711281500,700259700,683239800,821194500,686179100,719684300,813733700,654944300,674502200,686329800,682798500,706767000,704142200,764619500,738367500,932665600,1025726900,1492852200,1025342900,744362100,750262800,754242900,692270400,667324600,734655900,646982300,649390400,641305400,689154000,665571400,743821200,684508000,710816000,702722600,662831500,670773400,1032515300,797635100,705215500,772379600,706643100,757795400,961752500
512,368581700,396350600,417986900,458877600,385587300,408713800,446111200,483710000,400527600,421341100,393861600,421598300,395193000,389984500,406550200,418284300,395788900,331276800,342571800,364049600,383704200,395662500,394877700,364747100,338276700,356861800,324476400,466724500,356630300,318857700,314783600,309513400,353402400,367021700,344367700,348687100,314149500,330128300,314551200,323544200,475295500,374007700,351824400,342564100,360698000,377122300,376921400,369297300,336764200,338362300,302678700,360422400,299863000,369703600,320540500,351157100,323487000,338301600,339289500,334442400,317318100,315204700,309218100,321705200,359380000,319539900,342363500,348162100,303020100,325101000,347080000,315165800,347560500,320188800,298249300,343194000,323417200,347813200,323451800,324068300,322278400,333344800,324588700,301439900,312683900,326099800,313851500,316710800,328060100,343351400,341095800,408840300,345585600,328698700,335597300,336859200,357943100,337531400,322188100,344707400
1024,210853700,188086000,189540400,188096300,252841200,180519300,167215000,169390900,187575600,183307900,173655900,183805600,168917100,175752100,184508100,186495600,196640000,183500800,189262700,186142500,176527600,178441200,177063100,183076300,180535300,205715100,215379200,199504000,191733300,188959700,175766500,215343300,196931500,168722900,186708700,186387500,178333900,228553700,174491100,199423800,179276200,194414700,164873000,176677700,180075800,223939000,192288700,176240700,175017200,170969400,182295300,190091500,165861500,189885800,186899200,178430700,181793400,173563200,168591900,182173900,179695600,172912700,172196700,167494600,178650400,172173200,184260300,175577900,170797300,229065300,195855600,183899700,185045500,192855900,182896800,185695500,167420900,162717200,172089400,166648200,166614600,172236400,173068500,175707000,173760000,179536600,181861900,176195000,188769600,168172800,170755200,171113600,170440800,217772200,176512800,209577000,185598000,176880000,195180000,211940100
2048,113174800,104336500,104598300,112833300,103356700,117629200,156188800,111105000,106885000,110055700,107763700,117042700,104132900,106326700,113635600,98782000,103564200,95741500,102380200,100110100,98913200,97281300,150809100,99239200,98687400,103737000,103464300,103119700,116609800,105028000,109476900,104458700,99611600,99261400,104339200,102165900,101557600,115288800,104905100,102543000,107432800,100792100,106242500,110036700,111391400,112767200,106815300,106806600,105649900,113050200,104045700,106252200,141756800,108064600,111774800,116270300,121737600,108809100,112124100,125330100,127945500,120759200,114680500,129236100,109917800,117435800,103536700,108754100,97269300,95141500,99513800,99642600,98129800,99126100,149664000,101435600,93561700,99885400,95889600,99986700,110731000,105180700,106153300,118918000,103453000,102909300,101579700,99044300,102349400,104522600,97131100,101198100,95265700,95799200,94900700,98310200,99050200,103075000,103241700,111034700
4096,69300300,71492700,66776900,64073500,66495000,63734600,69384600,67456100,64292400,64541100,63882900,67047000,62222100,63664200,62750100,107940200,63543800,65225500,64245600,61768800,62682000,64132400,64011600,63744600,64801700,66855400,68343600,65175600,67865500,67922600,69286000,75153100,73566400,64756900,65751700,63816500,61876800,67268800,67852400,65684700,62132200,63113800,66560000,76662900,64817100,66386700,60474000,69530700,76165700,101068800,78373400,66020500,82129800,77878300,101149000,93935100,83132800,75968000,84650400,77956000,80297600,86250300,85028800,68055500,65618000,68896000,74544200,64275700,59859800,64405800,61815900,69925500,155741700,71814400,65787500,65953000,67863700,64048500,68914700,61413600,61509700,64188900,62977900,62915000,70394700,65762500,80538600,81966700,65107300,75159700,69275900,64239300,63805000,72590700,79768300,68056100,65559400,80727500,81428800,67205200
8192,56694900,57525500,64691500,67897200,56720800,56983900,56766800,58159000,57508900,66884400,60443700,58054200,57598500,57441000,85673300,70831200,66119500,59309800,56699600,57295300,58194100,57481600,73060600,64269700,57406700,59530300,58145800,58568400,57881500,58787400,70179200,64639300,56685600,59280800,57809200,57310600,57223600,56900300,56161000,56610600,58324800,62582900,58215700,69309500,62836500,61137200,58093700,58970000,57670200,66320700,61567000,59836200,61840900,58041900,59511700,58270200,63165900,73000600,87180800,74825500,66710800,73513000,63483300,58634700,58978200,57541400,53670400,56063300,94907400,58437800,55520800,56712500,55124400,53391900,57103400,54781200,55456300,56574300,56108200,57398900,56628700,80982600,60040700,64539100,53484200,58166100,55567400,59067400,54009000,57124700,56164100,57123800,53546100,59842300,54503000,58098400,52028200,58436600,52730200,55856300
16384,53040000,50257400,51623100,47014900,56958200,46236500,50256600,46064600,51597800,46363500,51304800,45737000,50753000,45755600,56762200,48453400,51507400,46752000,52024700,48697500,63608900,66038600,55858200,47233700,49727600,51133000,51316700,50194800,54646400,48440500,83636100,49662800,51727800,46980400,49589600,45067300,50595200,50650000,51834600,45246700,52884600,45490600,50122000,43995600,51275900,45751700,51416700,45551500,48586900,44547200,47959500,52916200,48575500,50175000,50599100,44274000,51493500,44165600,51702900,50284800,52755400,50227700,50650600,50204400,55574000,49405300,52166200,46688800,50348900,44849700,51557300,43366000,56870500,45008200,54717700,50664700,50614100,47886400,48651700,42772300,50087300,42646400,53825500,49555600,51867200,51948900,49298000,43823600,48570200,45018100,51951900,45680000,51862800,50617900,51814200,44473900,53548400,50104300,49043100,41667400
32768,74841200,41226400,37808500,40845700,36067300,42512600,35785400,40870000,37356600,43231200,36679600,43431000,35589400,39313000,35339100,39039200,34030400,39197500,37336400,39831300,36874900,37299700,37032600,41191100,37394700,40773100,37530200,40373900,44723500,40146200,37260700,39747500,35170800,39475600,36719600,38721300,41683900,41756900,36682000,39486700,37572300,39234100,33462600,38919700,39240000,37525000,37259800,40460300,37580600,39191800,36162900,39545900,36316100,38426600,34572500,41109200,40223600,40342400,37426300,40357900,35188700,38260700,34366000,39156800,39217400,40800700,37309600,40653500,36562300,40834600,37220200,40394600,35061900,40382100,33138900,39868300,34264900,37069700,34604300,80858800,49432300,40039300,36726000,38896700,37246800,39668900,35385000,40569400,35250000,40946900,35253400,41801300,37074000,40368000,38870400,40282900,34242700,40349600,38877000,40340600
65536,45978600,41628600,45392300,42990200,45840400,49752100,44419700,41780900,42797700,40129200,47336400,40661900,47624500,42755000,42233800,41788700,42824200,43422300,46120000,39569000,45387100,41478000,43261400,39564000,41749100,42812800,47273200,45626300,47863800,45148500,47100200,38999800,45437100,39136400,43194200,46244700,46823900,39016100,44598300,41022900,46001600,38511600,48732900,40921900,46539800,40094100,43156800,37649200,45901000,39897200,65952100,45221700,44566800,39613600,45860000,45700900,42487500,37844400,44333400,42591700,45612800,39929500,41466500,40542700,43648100,37560800,44404100,43134400,47817900,40643600,44018300,42351200,43858600,37702800,43967000,39914900,42936100,40477000,42784500,45078800,46611800,42169300,45692300,39443600,44833800,43052900,47729100,40647400,45550600,39613400,44110800,42206600,46064800,40979900,45355400,37926000,42791000,41559400,47207600,40081900
time,11513848000,11218713900,11433697900,11325869200,11317883500,11203608200,11121069600,11184636200,11444935700,11217893400,11905672400,13382084000,12657042800,11296239800,11723832100,11504488400,11238082000,11230898600,11864621700,14101623200,13974831200,14254058800,14039310100,12555916400,13053317700,16461276900,13176488000,13057914300,12488672200,15334642100,15167849300,14066217000,13834007300,15689852600,14334084200,14687093300,18929471700,16255774400,17550724800,14466823300,15378225400,15881863500,14919500900,13635325000,13724171500,14034474000,14540860500,15008775600,16677662700,12791599600,13442460600,13894435700,13569071300,13401947000,12533985000,13534201900,13069773100,12582883400,12856046800,12499889800,12961636100,14294950800,13499120400,12910695300,13218087500,12593435400,12837780100,12653766900,13340831100,12839954400,14191776300,13499691100,12820933900,12736632400,13016395600,13464305000,13522374700,12843377600,12925559300,13756205900,13515027500,14362638500,14216626000,14459076400,14014828100,13511275400,13132308300,12904505300,12623654500,12921045600,15782060500,13875212000,13101520100,14962334500,13708776600,14792256400,13888074300,13360658700,19893765700,14143678800
